title,url,source,published_date,published_time,keyword,sentiment,relevance_score,country,location,latitude,longitude
UK hit by more flooding,https://www.theguardian.com/environment/2000/nov/06/weather.climatechange4,The Guardian,06-11-2000,13:17:12,flood,negative,1,England,Kent,51.2070748,0.7210362
Britain faces more floods,https://www.theguardian.com/environment/2000/dec/13/weather.climatechange,The Guardian,13-12-2000,11:29:58,flood,negative,1,England,Kent,51.2070748,0.7210362
UK's £200m aid for dam stalled,https://www.theguardian.com/environment/2000/may/17/uknews,The Guardian,17-05-2000,01:14:01,flood,negative,0.208333333,England,London,51.5074,-0.1278
Climate change to cost UK billions,https://www.theguardian.com/environment/2000/may/16/weather.climatechange,The Guardian,16-05-2000,00:15:22,flood,positive,0.36900369,England,London,51.5074,-0.1278
Global warming will cost UK 'billions',https://www.theguardian.com/environment/2000/may/15/weather.climatechange,The Guardian,15-05-2000,16:28:33,flood,neutral,0.441501104,England,Hampshire,51.0449814,-1.2433133
Britain hit by worst storms for 13 years,https://www.theguardian.com/environment/2000/oct/30/weather.climatechange1,The Guardian,30-10-2000,17:11:32,flood,positive,0.722891566,England,Liverpool,53.4071991,-2.99168
Heavy rain threatens further chaos,https://www.theguardian.com/environment/2000/nov/07/weather.globalwarming,The Guardian,07-11-2000,16:42:28,flood,negative,1,Scotland,Edinburgh,55.9533456,-3.1883749
Global warming: it's with us now,https://www.theguardian.com/environment/2000/oct/31/weather.climatechange5,The Guardian,31-10-2000,16:43:12,flood,negative,1,England,Yorkshire,53.9825271,-1.38525
Polly Toynbee: We are all threatened by global warming,https://www.theguardian.com/environment/2000/dec/27/weather.globalwarming,The Guardian,27-12-2000,01:38:48,flood,negative,0.326086957,England,London,51.5074456,-0.1277653
Britain's secret history of extreme weather,https://www.theguardian.com/environment/2000/nov/02/weather.climatechange3,The Guardian,02-11-2000,12:44:30,flood,negative,0.668151448,England,reading,51.4514953,-0.9836342
Are storms the result of global warming?,https://www.theguardian.com/environment/2000/oct/30/weather.climatechange2,The Guardian,30-10-2000,15:12:52,flood,negative,0.422832981,England,Kent,51.2070748,0.7210362
Super projects fall short in dam commission report,https://www.theguardian.com/environment/2000/nov/16/internationalnews,The Guardian,16-11-2000,17:19:46,flood,negative,0.16025641,England,London,51.5074456,-0.1277653
Confronting the perils of global warming in a vanishing landscape,https://www.theguardian.com/environment/2000/nov/14/globalwarming.climatechange1,The Guardian,14-11-2000,02:40:20,flood,positive,0.453309157,England,London,51.5074,-0.1278
Tides to power turbine island,https://www.theguardian.com/environment/2000/sep/24/energy.business,The Guardian,24-09-2000,01:25:55,flood,positive,0.437956204,England,north Wales,52.9487855,-3.7601273
US plays dirty as planet chokes,https://www.theguardian.com/environment/2000/nov/19/globalwarming.theobserver,The Guardian,19-11-2000,23:00:57,flood,positive,0.070077085,England,London,51.5074,-0.1278
Welcome to the new world,https://www.theguardian.com/environment/2000/nov/14/globalwarming.climatechange2,The Guardian,14-11-2000,02:40:19,drought,negative,0.225225225,England,Kent,51.2070748,0.7210362
Stopping the cheats,https://www.theguardian.com/environment/2000/nov/14/activists.climatechange,The Guardian,14-11-2000,17:47:04,drought,positive,0.248138958,England,London,51.5074,-0.1278
Opinion: Global warming treaty must not become a 'cheat's charter',https://www.theguardian.com/environment/2000/nov/13/climatechange1,The Guardian,13-11-2000,16:50:13,drought,positive,0.247218789,England,London,51.5074,-0.1278
Solar power must drive us forward,https://www.theguardian.com/environment/2000/sep/22/solarpower.climatechange,The Guardian,22-09-2000,01:27:25,drought,positive,0.11820331,England,York,53.9656578,-1.0743052
Global battle rages over GM crops as biotech revolution ploughs on,https://www.theguardian.com/science/2000/jul/24/gm.food,The Guardian,24-07-2000,01:05:34,drought,positive,0.070323488,England,Leeds,53.7974185,-1.5437941
Britain pledges £10m aid to victims of India's quake,https://www.theguardian.com/environment/2001/jan/29/naturaldisasters.climatechange6,The Guardian,29-01-2001,16:23:47,cyclone,negative,0.078308536,England,Portsmouth,50.800031,-1.0906023
